download_rank,pdb_id,experimental_methods,resolution_combined,deposited_atom_count,coordinate_url,download_status
3004,2MEX,SOLID-STATE NMR,,2500,https://files.rcsb.org/download/2MEX.cif.gz,not_started
3005,2MEY,SOLUTION NMR,,977,https://files.rcsb.org/download/2MEY.cif.gz,not_started
3006,2MEZ,SOLUTION NMR,,817,https://files.rcsb.org/download/2MEZ.cif.gz,not_started
3007,2MF2,SOLUTION NMR,,2082,https://files.rcsb.org/download/2MF2.cif.gz,not_started
3008,2MF3,SOLUTION NMR,,342,https://files.rcsb.org/download/2MF3.cif.gz,not_started
3009,2MF4,SOLUTION NMR,,628,https://files.rcsb.org/download/2MF4.cif.gz,not_started
3010,2MF6,SOLUTION NMR,,4052,https://files.rcsb.org/download/2MF6.cif.gz,not_started
3011,2MF7,SOLUTION NMR,,1036,https://files.rcsb.org/download/2MF7.cif.gz,not_started
3012,2MF8,SOLUTION NMR,,1057,https://files.rcsb.org/download/2MF8.cif.gz,not_started
3013,2MF9,SOLUTION NMR,,1186,https://files.rcsb.org/download/2MF9.cif.gz,not_started
3014,2MFA,SOLUTION NMR,,450,https://files.rcsb.org/download/2MFA.cif.gz,not_started
3015,2MFC,SOLUTION NMR,,1838,https://files.rcsb.org/download/2MFC.cif.gz,not_started
3016,2MFE,SOLUTION NMR,,1838,https://files.rcsb.org/download/2MFE.cif.gz,not_started
3017,2MFF,SOLUTION NMR,,1798,https://files.rcsb.org/download/2MFF.cif.gz,not_started
3018,2MFG,SOLUTION NMR,,1792,https://files.rcsb.org/download/2MFG.cif.gz,not_started
3019,2MFH,SOLUTION NMR,,1274,https://files.rcsb.org/download/2MFH.cif.gz,not_started
3020,2MFI,SOLUTION NMR,,733,https://files.rcsb.org/download/2MFI.cif.gz,not_started
3021,2MFJ,SOLUTION NMR,,478,https://files.rcsb.org/download/2MFJ.cif.gz,not_started
3022,2MFK,SOLUTION NMR,,527,https://files.rcsb.org/download/2MFK.cif.gz,not_started
3023,2MFL,SOLUTION NMR,,736,https://files.rcsb.org/download/2MFL.cif.gz,not_started
3024,2MFQ,SOLUTION NMR,,1119,https://files.rcsb.org/download/2MFQ.cif.gz,not_started
3025,2MFR,SOLUTION NMR,,477,https://files.rcsb.org/download/2MFR.cif.gz,not_started
3026,2MFZ,SOLUTION NMR,,1652,https://files.rcsb.org/download/2MFZ.cif.gz,not_started
3027,2MG4,SOLUTION NMR,,1196,https://files.rcsb.org/download/2MG4.cif.gz,not_started
3028,2MG5,SOLUTION NMR,,1285,https://files.rcsb.org/download/2MG5.cif.gz,not_started
3029,2MGP,SOLUTION NMR,,743,https://files.rcsb.org/download/2MGP.cif.gz,not_started
3030,2MGQ,SOLUTION NMR,,600,https://files.rcsb.org/download/2MGQ.cif.gz,not_started
3031,2MGR,SOLUTION NMR,,743,https://files.rcsb.org/download/2MGR.cif.gz,not_started
3032,2MGS,SOLUTION NMR,,1090,https://files.rcsb.org/download/2MGS.cif.gz,not_started
3033,2MGU,SOLUTION NMR,,1473,https://files.rcsb.org/download/2MGU.cif.gz,not_started
3034,2MGV,SOLUTION NMR,,461,https://files.rcsb.org/download/2MGV.cif.gz,not_started
3035,2MGW,SOLUTION NMR,,413,https://files.rcsb.org/download/2MGW.cif.gz,not_started
3036,2MGX,SOLUTION NMR,,1033,https://files.rcsb.org/download/2MGX.cif.gz,not_started
3037,2MGY,SOLUTION NMR,,1361,https://files.rcsb.org/download/2MGY.cif.gz,not_started
3038,2MGZ,SOLUTION NMR,,1814,https://files.rcsb.org/download/2MGZ.cif.gz,not_started
3039,2MH0,SOLUTION NMR,,994,https://files.rcsb.org/download/2MH0.cif.gz,not_started
3040,2MH2,SOLUTION NMR,,504,https://files.rcsb.org/download/2MH2.cif.gz,not_started
3041,2MH3,SOLUTION NMR,,1144,https://files.rcsb.org/download/2MH3.cif.gz,not_started
3042,2MH4,SOLUTION NMR,,664,https://files.rcsb.org/download/2MH4.cif.gz,not_started
3043,2MH8,SOLUTION NMR,,445,https://files.rcsb.org/download/2MH8.cif.gz,not_started
3044,2MH9,SOLUTION NMR,,1002,https://files.rcsb.org/download/2MH9.cif.gz,not_started
3045,2MHC,SOLUTION NMR,,973,https://files.rcsb.org/download/2MHC.cif.gz,not_started
3046,2MHD,SOLUTION NMR,,901,https://files.rcsb.org/download/2MHD.cif.gz,not_started
3047,2MHE,SOLUTION NMR,,1165,https://files.rcsb.org/download/2MHE.cif.gz,not_started
3048,2MHF,SOLUTION NMR,,1058,https://files.rcsb.org/download/2MHF.cif.gz,not_started
3049,2MHG,SOLUTION NMR,,1205,https://files.rcsb.org/download/2MHG.cif.gz,not_started
3050,2MHH,SOLUTION NMR,,752,https://files.rcsb.org/download/2MHH.cif.gz,not_started
3051,2MHJ,SOLUTION NMR,,759,https://files.rcsb.org/download/2MHJ.cif.gz,not_started
3052,2MHK,SOLUTION NMR,,1971,https://files.rcsb.org/download/2MHK.cif.gz,not_started
3053,2MHL,SOLUTION NMR,,1482,https://files.rcsb.org/download/2MHL.cif.gz,not_started
3054,2MHO,SOLUTION NMR,,813,https://files.rcsb.org/download/2MHO.cif.gz,not_started
3055,2MHP,SOLUTION NMR,,774,https://files.rcsb.org/download/2MHP.cif.gz,not_started
3056,2MHV,SOLUTION NMR,,432,https://files.rcsb.org/download/2MHV.cif.gz,not_started
3057,2MHY,SOLUTION NMR,,430,https://files.rcsb.org/download/2MHY.cif.gz,not_started
3058,2MI2,SOLUTION NMR,,817,https://files.rcsb.org/download/2MI2.cif.gz,not_started
3059,2MI5,SOLUTION NMR,,449,https://files.rcsb.org/download/2MI5.cif.gz,not_started
3060,2MI6,SOLUTION NMR,,472,https://files.rcsb.org/download/2MI6.cif.gz,not_started
3061,2MI7,SOLUTION NMR,,528,https://files.rcsb.org/download/2MI7.cif.gz,not_started
3062,2MI8,SOLUTION NMR,,616,https://files.rcsb.org/download/2MI8.cif.gz,not_started
3063,2MII,SOLUTION NMR,,1456,https://files.rcsb.org/download/2MII.cif.gz,not_started
3064,2MIM,SOLUTION NMR,,1367,https://files.rcsb.org/download/2MIM.cif.gz,not_started
3065,2MIO,SOLUTION NMR,,566,https://files.rcsb.org/download/2MIO.cif.gz,not_started
3066,2MIQ,SOLUTION NMR,,702,https://files.rcsb.org/download/2MIQ.cif.gz,not_started
3067,2MIU,SOLUTION NMR,,799,https://files.rcsb.org/download/2MIU.cif.gz,not_started
3068,2MIZ,SOLUTION NMR,,1224,https://files.rcsb.org/download/2MIZ.cif.gz,not_started
3069,2MJ0,SOLUTION NMR,,530,https://files.rcsb.org/download/2MJ0.cif.gz,not_started
3070,2MJ3,SOLUTION NMR,,897,https://files.rcsb.org/download/2MJ3.cif.gz,not_started
3071,2MJ6,SOLUTION NMR,,685,https://files.rcsb.org/download/2MJ6.cif.gz,not_started
3072,2MJ7,SOLUTION NMR,,1123,https://files.rcsb.org/download/2MJ7.cif.gz,not_started
3073,2MJ8,SOLUTION NMR,,543,https://files.rcsb.org/download/2MJ8.cif.gz,not_started
3074,2MJA,SOLUTION NMR,,1002,https://files.rcsb.org/download/2MJA.cif.gz,not_started
3075,2MJD,SOLUTION NMR,,881,https://files.rcsb.org/download/2MJD.cif.gz,not_started
3076,2MJE,SOLUTION NMR,,881,https://files.rcsb.org/download/2MJE.cif.gz,not_started
3077,2MJF,SOLUTION NMR,,1087,https://files.rcsb.org/download/2MJF.cif.gz,not_started
3078,2MJG,SOLUTION NMR,,690,https://files.rcsb.org/download/2MJG.cif.gz,not_started
3079,2MJH,SOLUTION NMR,,1326,https://files.rcsb.org/download/2MJH.cif.gz,not_started
3080,2MJI,SOLUTION NMR,,1083,https://files.rcsb.org/download/2MJI.cif.gz,not_started
3081,2MJL,SOLUTION NMR,,1520,https://files.rcsb.org/download/2MJL.cif.gz,not_started
3082,2MJM,SOLUTION NMR,,819,https://files.rcsb.org/download/2MJM.cif.gz,not_started
3083,2MJN,SOLUTION NMR,,1448,https://files.rcsb.org/download/2MJN.cif.gz,not_started
3084,2MJO,SOLUTION NMR,,636,https://files.rcsb.org/download/2MJO.cif.gz,not_started
3085,2MJU,SOLUTION NMR,,1610,https://files.rcsb.org/download/2MJU.cif.gz,not_started
3086,2MJV,SOLUTION NMR,,1128,https://files.rcsb.org/download/2MJV.cif.gz,not_started
3087,2MJW,SOLUTION NMR,,3014,https://files.rcsb.org/download/2MJW.cif.gz,not_started
3088,2MK2,SOLUTION NMR,,860,https://files.rcsb.org/download/2MK2.cif.gz,not_started
3089,2MK3,SOLUTION NMR,,555,https://files.rcsb.org/download/2MK3.cif.gz,not_started
3090,2MK4,SOLUTION NMR,,962,https://files.rcsb.org/download/2MK4.cif.gz,not_started
3091,2MK5,SOLUTION NMR,,991,https://files.rcsb.org/download/2MK5.cif.gz,not_started
3092,2MK6,SOLUTION NMR,,768,https://files.rcsb.org/download/2MK6.cif.gz,not_started
3093,2MKC,SOLUTION NMR,,1399,https://files.rcsb.org/download/2MKC.cif.gz,not_started
3094,2MKE,SOLUTION NMR,,517,https://files.rcsb.org/download/2MKE.cif.gz,not_started
3095,2MKF,SOLUTION NMR,,479,https://files.rcsb.org/download/2MKF.cif.gz,not_started
3096,2MKG,SOLUTION NMR,,488,https://files.rcsb.org/download/2MKG.cif.gz,not_started
3097,2MKH,SOLUTION NMR,,1678,https://files.rcsb.org/download/2MKH.cif.gz,not_started
3098,2MKI,SOLUTION NMR,,1708,https://files.rcsb.org/download/2MKI.cif.gz,not_started
3099,2MKJ,SOLUTION NMR,,1600,https://files.rcsb.org/download/2MKJ.cif.gz,not_started
3100,2MKK,SOLUTION NMR,,1786,https://files.rcsb.org/download/2MKK.cif.gz,not_started
3101,2MKL,SOLUTION NMR,,830,https://files.rcsb.org/download/2MKL.cif.gz,not_started
3102,2MKN,SOLUTION NMR,,1173,https://files.rcsb.org/download/2MKN.cif.gz,not_started
3103,2MKP,SOLUTION NMR,,827,https://files.rcsb.org/download/2MKP.cif.gz,not_started
3104,2MKR,SOLUTION NMR,,1017,https://files.rcsb.org/download/2MKR.cif.gz,not_started
3105,2MKS,SOLUTION NMR,,707,https://files.rcsb.org/download/2MKS.cif.gz,not_started
3106,2MKV,SOLUTION NMR,,520,https://files.rcsb.org/download/2MKV.cif.gz,not_started
3107,2MKW,SOLUTION NMR,,833,https://files.rcsb.org/download/2MKW.cif.gz,not_started
3108,2MKX,SOLUTION NMR,,383,https://files.rcsb.org/download/2MKX.cif.gz,not_started
3109,2MKY,SOLUTION NMR,,460,https://files.rcsb.org/download/2MKY.cif.gz,not_started
3110,2MKZ,SOLUTION NMR,,1035,https://files.rcsb.org/download/2MKZ.cif.gz,not_started
3111,2ML1,SOLUTION NMR,,1096,https://files.rcsb.org/download/2ML1.cif.gz,not_started
3112,2ML2,SOLUTION NMR,,1173,https://files.rcsb.org/download/2ML2.cif.gz,not_started
3113,2ML3,SOLUTION NMR,,1292,https://files.rcsb.org/download/2ML3.cif.gz,not_started
3114,2ML5,SOLUTION NMR,,1269,https://files.rcsb.org/download/2ML5.cif.gz,not_started
3115,2ML6,SOLUTION NMR,,1225,https://files.rcsb.org/download/2ML6.cif.gz,not_started
3116,2ML8,SOLUTION NMR,,1392,https://files.rcsb.org/download/2ML8.cif.gz,not_started
3117,2ML9,SOLUTION NMR,,476,https://files.rcsb.org/download/2ML9.cif.gz,not_started
3118,2MLB,SOLUTION NMR,,600,https://files.rcsb.org/download/2MLB.cif.gz,not_started
3119,2MLE,SOLUTION NMR,,585,https://files.rcsb.org/download/2MLE.cif.gz,not_started
3120,2MLF,SOLUTION NMR,,589,https://files.rcsb.org/download/2MLF.cif.gz,not_started
3121,2MLG,SOLUTION NMR,,657,https://files.rcsb.org/download/2MLG.cif.gz,not_started
3122,2MLK,SOLUTION NMR,,865,https://files.rcsb.org/download/2MLK.cif.gz,not_started
3123,2MLM,SOLUTION NMR,,1205,https://files.rcsb.org/download/2MLM.cif.gz,not_started
3124,2MLS,SOLUTION NMR,,7042,https://files.rcsb.org/download/2MLS.cif.gz,not_started
3125,2MLW,SOLUTION NMR,,1578,https://files.rcsb.org/download/2MLW.cif.gz,not_started
3126,2MLX,SOLUTION NMR,,4061,https://files.rcsb.org/download/2MLX.cif.gz,not_started
3127,2MLY,SOLUTION NMR,,4493,https://files.rcsb.org/download/2MLY.cif.gz,not_started
3128,2MLZ,SOLUTION NMR,,4182,https://files.rcsb.org/download/2MLZ.cif.gz,not_started
3129,2MM0,SOLUTION NMR,,455,https://files.rcsb.org/download/2MM0.cif.gz,not_started
3130,2MM2,SOLUTION NMR,,460,https://files.rcsb.org/download/2MM2.cif.gz,not_started
3131,2MM3,SOLUTION NMR,,1066,https://files.rcsb.org/download/2MM3.cif.gz,not_started
3132,2MM4,SOLUTION NMR,,446,https://files.rcsb.org/download/2MM4.cif.gz,not_started
3133,2MM8,SOLUTION NMR,,689,https://files.rcsb.org/download/2MM8.cif.gz,not_started
3134,2MM9,SOLUTION NMR,,726,https://files.rcsb.org/download/2MM9.cif.gz,not_started
3135,2MMA,SOLUTION NMR,,1486,https://files.rcsb.org/download/2MMA.cif.gz,not_started
3136,2MMB,SOLUTION NMR,,855,https://files.rcsb.org/download/2MMB.cif.gz,not_started
3137,2MMC,SOLUTION NMR,,1724,https://files.rcsb.org/download/2MMC.cif.gz,not_started
3138,2MMG,SOLUTION NMR,,1724,https://files.rcsb.org/download/2MMG.cif.gz,not_started
3139,2MMH,SOLUTION NMR,,577,https://files.rcsb.org/download/2MMH.cif.gz,not_started
3140,2MMI,SOLUTION NMR,,577,https://files.rcsb.org/download/2MMI.cif.gz,not_started
3141,2MMK,SOLUTION NMR,,585,https://files.rcsb.org/download/2MMK.cif.gz,not_started
3142,2MML,SOLUTION NMR,,581,https://files.rcsb.org/download/2MML.cif.gz,not_started
3143,2MMO,SOLUTION NMR,,818,https://files.rcsb.org/download/2MMO.cif.gz,not_started
3144,2MMP,SOLUTION NMR,,650,https://files.rcsb.org/download/2MMP.cif.gz,not_started
3145,2MMV,SOLUTION NMR,,1389,https://files.rcsb.org/download/2MMV.cif.gz,not_started
3146,2MMX,SOLUTION NMR,,840,https://files.rcsb.org/download/2MMX.cif.gz,not_started
3147,2MMY,SOLUTION NMR,,748,https://files.rcsb.org/download/2MMY.cif.gz,not_started
3148,2MN2,SOLUTION NMR,,1000,https://files.rcsb.org/download/2MN2.cif.gz,not_started
3149,2MN4,SOLUTION NMR,,755,https://files.rcsb.org/download/2MN4.cif.gz,not_started
3150,2MN5,SOLUTION NMR,,413,https://files.rcsb.org/download/2MN5.cif.gz,not_started
3151,2MN6,SOLUTION NMR,,688,https://files.rcsb.org/download/2MN6.cif.gz,not_started
3152,2MN7,SOLUTION NMR,,351,https://files.rcsb.org/download/2MN7.cif.gz,not_started
3153,2MNA,SOLUTION NMR,,1013,https://files.rcsb.org/download/2MNA.cif.gz,not_started
3154,2MNG,SOLUTION NMR,,1050,https://files.rcsb.org/download/2MNG.cif.gz,not_started
3155,2MNH,SOLUTION NMR,,1151,https://files.rcsb.org/download/2MNH.cif.gz,not_started
3156,2MNI,SOLUTION NMR,,731,https://files.rcsb.org/download/2MNI.cif.gz,not_started
3157,2MNJ,SOLUTION NMR,,914,https://files.rcsb.org/download/2MNJ.cif.gz,not_started
3158,2MNU,SOLUTION NMR,,913,https://files.rcsb.org/download/2MNU.cif.gz,not_started
3159,2MNW,SOLUTION NMR,,769,https://files.rcsb.org/download/2MNW.cif.gz,not_started
3160,2MNY,SOLUTION NMR,,427,https://files.rcsb.org/download/2MNY.cif.gz,not_started
3161,2MNZ,SOLUTION NMR,,507,https://files.rcsb.org/download/2MNZ.cif.gz,not_started
3162,2MO0,SOLUTION NMR,,543,https://files.rcsb.org/download/2MO0.cif.gz,not_started
3163,2MO1,SOLUTION NMR,,543,https://files.rcsb.org/download/2MO1.cif.gz,not_started
3164,2MO5,SOLUTION NMR,,1176,https://files.rcsb.org/download/2MO5.cif.gz,not_started
3165,2MOB,SOLUTION NMR,,707,https://files.rcsb.org/download/2MOB.cif.gz,not_started
3166,2MOE,SOLUTION NMR,,974,https://files.rcsb.org/download/2MOE.cif.gz,not_started
3167,2MOG,SOLUTION NMR,,677,https://files.rcsb.org/download/2MOG.cif.gz,not_started
3168,2MOI,SOLUTION NMR,,824,https://files.rcsb.org/download/2MOI.cif.gz,not_started
3169,2MOK,SOLUTION NMR,,1424,https://files.rcsb.org/download/2MOK.cif.gz,not_started
3170,2MOL,SOLUTION NMR,,824,https://files.rcsb.org/download/2MOL.cif.gz,not_started
3171,2MOP,SOLUTION NMR,,618,https://files.rcsb.org/download/2MOP.cif.gz,not_started
3172,2MOQ,SOLUTION NMR,,1219,https://files.rcsb.org/download/2MOQ.cif.gz,not_started
3173,2MOR,SOLUTION NMR,,602,https://files.rcsb.org/download/2MOR.cif.gz,not_started
3174,2MOT,SOLUTION NMR,,905,https://files.rcsb.org/download/2MOT.cif.gz,not_started
3175,2MOU,SOLUTION NMR,,1761,https://files.rcsb.org/download/2MOU.cif.gz,not_started
3176,2MOV,SOLUTION NMR,,828,https://files.rcsb.org/download/2MOV.cif.gz,not_started
3177,2MOW,SOLUTION NMR,,1383,https://files.rcsb.org/download/2MOW.cif.gz,not_started
3178,2MOX,SOLUTION NMR,,1177,https://files.rcsb.org/download/2MOX.cif.gz,not_started
3179,2MP0,SOLUTION NMR,,3039,https://files.rcsb.org/download/2MP0.cif.gz,not_started
3180,2MP1,SOLUTION NMR,,616,https://files.rcsb.org/download/2MP1.cif.gz,not_started
3181,2MP2,SOLUTION NMR,,1566,https://files.rcsb.org/download/2MP2.cif.gz,not_started
3182,2MP3,SOLUTION NMR,,923,https://files.rcsb.org/download/2MP3.cif.gz,not_started
3183,2MP4,SOLUTION NMR,,1287,https://files.rcsb.org/download/2MP4.cif.gz,not_started
3184,2MP5,SOLUTION NMR,,618,https://files.rcsb.org/download/2MP5.cif.gz,not_started
3185,2MP8,SOLUTION NMR,,446,https://files.rcsb.org/download/2MP8.cif.gz,not_started
3186,2MPB,SOLUTION NMR,,1160,https://files.rcsb.org/download/2MPB.cif.gz,not_started
3187,2MPC,SOLUTION NMR,,742,https://files.rcsb.org/download/2MPC.cif.gz,not_started
3188,2MPE,SOLUTION NMR,,1006,https://files.rcsb.org/download/2MPE.cif.gz,not_started
3189,2MPF,SOLUTION NMR,,1113,https://files.rcsb.org/download/2MPF.cif.gz,not_started
3190,2MPH,SOLUTION NMR,,1775,https://files.rcsb.org/download/2MPH.cif.gz,not_started
3191,2MPK,SOLUTION NMR,,599,https://files.rcsb.org/download/2MPK.cif.gz,not_started
3192,2MPL,SOLUTION NMR,,988,https://files.rcsb.org/download/2MPL.cif.gz,not_started
3193,2MPM,SOLUTION NMR,,719,https://files.rcsb.org/download/2MPM.cif.gz,not_started
3194,2MPN,SOLUTION NMR,,1006,https://files.rcsb.org/download/2MPN.cif.gz,not_started
3195,2MPO,SOLUTION NMR,,1352,https://files.rcsb.org/download/2MPO.cif.gz,not_started
3196,2MPS,SOLUTION NMR,,988,https://files.rcsb.org/download/2MPS.cif.gz,not_started
3197,2MPU,SOLUTION NMR,,700,https://files.rcsb.org/download/2MPU.cif.gz,not_started
3198,2MPV,SOLUTION NMR,,1092,https://files.rcsb.org/download/2MPV.cif.gz,not_started
3199,2MPW,SOLUTION NMR,,885,https://files.rcsb.org/download/2MPW.cif.gz,not_started
3200,2MQ0,SOLUTION NMR,,758,https://files.rcsb.org/download/2MQ0.cif.gz,not_started
3201,2MQ1,SOLUTION NMR,,708,https://files.rcsb.org/download/2MQ1.cif.gz,not_started
3202,2MQ3,SOLUTION NMR,,761,https://files.rcsb.org/download/2MQ3.cif.gz,not_started
3203,2MQ6,SOLUTION NMR,,1098,https://files.rcsb.org/download/2MQ6.cif.gz,not_started
3204,2MQ8,SOLUTION NMR,,920,https://files.rcsb.org/download/2MQ8.cif.gz,not_started
3205,2MQ9,SOLUTION NMR,,1099,https://files.rcsb.org/download/2MQ9.cif.gz,not_started
3206,2MQA,SOLUTION NMR,,848,https://files.rcsb.org/download/2MQA.cif.gz,not_started
3207,2MQB,SOLUTION NMR,,1164,https://files.rcsb.org/download/2MQB.cif.gz,not_started
3208,2MQC,SOLUTION NMR,,795,https://files.rcsb.org/download/2MQC.cif.gz,not_started
3209,2MQD,SOLUTION NMR,,936,https://files.rcsb.org/download/2MQD.cif.gz,not_started
3210,2MQE,SOLUTION NMR,,1103,https://files.rcsb.org/download/2MQE.cif.gz,not_started
3211,2MQG,SOLUTION NMR,,731,https://files.rcsb.org/download/2MQG.cif.gz,not_started
3212,2MQH,SOLUTION NMR,,546,https://files.rcsb.org/download/2MQH.cif.gz,not_started
3213,2MQI,SOLUTION NMR,,823,https://files.rcsb.org/download/2MQI.cif.gz,not_started
3214,2MQJ,SOLUTION NMR,,565,https://files.rcsb.org/download/2MQJ.cif.gz,not_started
3215,2MQK,SOLUTION NMR,,516,https://files.rcsb.org/download/2MQK.cif.gz,not_started
3216,2MQL,SOLUTION NMR,,801,https://files.rcsb.org/download/2MQL.cif.gz,not_started
3217,2MQM,SOLUTION NMR,,916,https://files.rcsb.org/download/2MQM.cif.gz,not_started
3218,2MQN,SOLUTION NMR,,1698,https://files.rcsb.org/download/2MQN.cif.gz,not_started
3219,2MQO,SOLUTION NMR,,924,https://files.rcsb.org/download/2MQO.cif.gz,not_started
3220,2MQP,SOLUTION NMR,,1039,https://files.rcsb.org/download/2MQP.cif.gz,not_started
3221,2MQQ,SOLUTION NMR,,1896,https://files.rcsb.org/download/2MQQ.cif.gz,not_started
3222,2MQS,SOLUTION NMR,,2315,https://files.rcsb.org/download/2MQS.cif.gz,not_started
3223,2MQW,SOLUTION NMR,,1335,https://files.rcsb.org/download/2MQW.cif.gz,not_started
3224,2MR3,SOLUTION NMR,,2928,https://files.rcsb.org/download/2MR3.cif.gz,not_started
3225,2MR5,SOLUTION NMR,,1118,https://files.rcsb.org/download/2MR5.cif.gz,not_started
3226,2MR6,SOLUTION NMR,,1104,https://files.rcsb.org/download/2MR6.cif.gz,not_started
3227,2MR7,SOLUTION NMR,,675,https://files.rcsb.org/download/2MR7.cif.gz,not_started
3228,2MR8,SOLUTION NMR,,675,https://files.rcsb.org/download/2MR8.cif.gz,not_started
3229,2MRA,SOLUTION NMR,,940,https://files.rcsb.org/download/2MRA.cif.gz,not_started
3230,2MRC,SOLUTION NMR,,763,https://files.rcsb.org/download/2MRC.cif.gz,not_started
3231,2MRD,SOLUTION NMR,,1638,https://files.rcsb.org/download/2MRD.cif.gz,not_started
3232,2MRE,SOLUTION NMR,,873,https://files.rcsb.org/download/2MRE.cif.gz,not_started
3233,2MRI,SOLUTION NMR,,1427,https://files.rcsb.org/download/2MRI.cif.gz,not_started
3234,2MRJ,SOLUTION NMR,,823,https://files.rcsb.org/download/2MRJ.cif.gz,not_started
3235,2MRL,SOLUTION NMR,,570,https://files.rcsb.org/download/2MRL.cif.gz,not_started
3236,2MRM,SOLUTION NMR,,820,https://files.rcsb.org/download/2MRM.cif.gz,not_started
3237,2MRN,SOLUTION NMR,,1078,https://files.rcsb.org/download/2MRN.cif.gz,not_started
3238,2MRU,SOLUTION NMR,,1392,https://files.rcsb.org/download/2MRU.cif.gz,not_started
3239,2MRY,SOLUTION NMR,,758,https://files.rcsb.org/download/2MRY.cif.gz,not_started
3240,2MS3,SOLUTION NMR,,438,https://files.rcsb.org/download/2MS3.cif.gz,not_started
3241,2MS4,SOLUTION NMR,,1334,https://files.rcsb.org/download/2MS4.cif.gz,not_started
3242,2MS8,SOLUTION NMR,,830,https://files.rcsb.org/download/2MS8.cif.gz,not_started
3243,2MSK,SOLUTION NMR,,955,https://files.rcsb.org/download/2MSK.cif.gz,not_started
3244,2MSL,SOLUTION NMR,,955,https://files.rcsb.org/download/2MSL.cif.gz,not_started
3245,2MSR,SOLUTION NMR,,870,https://files.rcsb.org/download/2MSR.cif.gz,not_started
3246,2MSV,SOLUTION NMR,,1257,https://files.rcsb.org/download/2MSV.cif.gz,not_started
3247,2MSW,SOLUTION NMR,,924,https://files.rcsb.org/download/2MSW.cif.gz,not_started
3248,2MSX,SOLUTION NMR,,900,https://files.rcsb.org/download/2MSX.cif.gz,not_started
3249,2MSY,SOLUTION NMR,,608,https://files.rcsb.org/download/2MSY.cif.gz,not_started
3250,2MT3,SOLUTION NMR,,642,https://files.rcsb.org/download/2MT3.cif.gz,not_started
3251,2MT4,SOLUTION NMR,,983,https://files.rcsb.org/download/2MT4.cif.gz,not_started
3252,2MT5,SOLUTION NMR,,555,https://files.rcsb.org/download/2MT5.cif.gz,not_started
3253,2MT6,SOLUTION NMR,,1215,https://files.rcsb.org/download/2MT6.cif.gz,not_started
3254,2MT9,SOLUTION NMR,,1419,https://files.rcsb.org/download/2MT9.cif.gz,not_started
3255,2MTB,SOLUTION NMR,,1388,https://files.rcsb.org/download/2MTB.cif.gz,not_started
3256,2MTC,SOLUTION NMR,,1277,https://files.rcsb.org/download/2MTC.cif.gz,not_started
3257,2MTD,SOLUTION NMR,,1252,https://files.rcsb.org/download/2MTD.cif.gz,not_started
3258,2MTE,SOLUTION NMR,,541,https://files.rcsb.org/download/2MTE.cif.gz,not_started
3259,2MTF,SOLUTION NMR,,953,https://files.rcsb.org/download/2MTF.cif.gz,not_started
3260,2MTG,SOLUTION NMR,,920,https://files.rcsb.org/download/2MTG.cif.gz,not_started
3261,2MTI,SOLUTION NMR,,1123,https://files.rcsb.org/download/2MTI.cif.gz,not_started
3262,2MTL,SOLUTION NMR,,718,https://files.rcsb.org/download/2MTL.cif.gz,not_started
3263,2MTN,SOLUTION NMR,,980,https://files.rcsb.org/download/2MTN.cif.gz,not_started
3264,2MTP,SOLUTION NMR,,1269,https://files.rcsb.org/download/2MTP.cif.gz,not_started
3265,2MTQ,SOLUTION NMR,,565,https://files.rcsb.org/download/2MTQ.cif.gz,not_started
3266,2MTS,SOLUTION NMR,,478,https://files.rcsb.org/download/2MTS.cif.gz,not_started
3267,2MTV,SOLUTION NMR,,1357,https://files.rcsb.org/download/2MTV.cif.gz,not_started
3268,2MTZ,SOLID-STATE NMR,,1661,https://files.rcsb.org/download/2MTZ.cif.gz,not_started
3269,2MU0,SOLUTION NMR,,1055,https://files.rcsb.org/download/2MU0.cif.gz,not_started
3270,2MU3,SOLUTION NMR,,1336,https://files.rcsb.org/download/2MU3.cif.gz,not_started
3271,2MU4,SOLUTION NMR,,884,https://files.rcsb.org/download/2MU4.cif.gz,not_started
3272,2MUI,SOLUTION NMR,,1422,https://files.rcsb.org/download/2MUI.cif.gz,not_started
3273,2MUK,SOLUTION NMR,,893,https://files.rcsb.org/download/2MUK.cif.gz,not_started
3274,2MUL,SOLUTION NMR,,396,https://files.rcsb.org/download/2MUL.cif.gz,not_started
3275,2MUM,SOLUTION NMR,,415,https://files.rcsb.org/download/2MUM.cif.gz,not_started
3276,2MUN,SOLUTION NMR,,367,https://files.rcsb.org/download/2MUN.cif.gz,not_started
3277,2MUR,SOLUTION NMR,,953,https://files.rcsb.org/download/2MUR.cif.gz,not_started
3278,2MUT,SOLUTION NMR,,1415,https://files.rcsb.org/download/2MUT.cif.gz,not_started
3279,2MUU,SOLUTION NMR,,885,https://files.rcsb.org/download/2MUU.cif.gz,not_started
3280,2MUX,SOLUTION NMR,,1133,https://files.rcsb.org/download/2MUX.cif.gz,not_started
3281,2MV2,SOLUTION NMR,,1201,https://files.rcsb.org/download/2MV2.cif.gz,not_started
3282,2MV3,SOLUTION NMR,,705,https://files.rcsb.org/download/2MV3.cif.gz,not_started
3283,2MV4,SOLUTION NMR,,1053,https://files.rcsb.org/download/2MV4.cif.gz,not_started
3284,2MV6,SOLUTION NMR,,383,https://files.rcsb.org/download/2MV6.cif.gz,not_started
